API,Category,Description_URL
NtSetInformationThread,Helper,https://malapi.io/winapi/NtSetInformationThread
NtSetSystemEnvironmentValueEx,Helper,https://malapi.io/winapi/NtSetSystemEnvironmentValueEx
NtSetValueKey,Helper,https://malapi.io/winapi/NtSetValueKey
NtShutdownSystem,Helper,https://malapi.io/winapi/NtShutdownSystem
NtSuspendProcess,Injection,https://malapi.io/winapi/NtSuspendProcess
NtTerminateProcess,Helper,https://malapi.io/winapi/NtTerminateProcess
NtTerminateThread,Helper,https://malapi.io/winapi/NtTerminateThread
NtUnmapViewOfSection,Injection,https://malapi.io/winapi/NtUnmapViewOfSection
NtWaitForMultipleObjects,Injection,https://malapi.io/winapi/NtWaitForMultipleObjects
NtWaitForMultipleObjects,Evasion,https://malapi.io/winapi/NtWaitForMultipleObjects
NtWaitForSingleObject,Injection,https://malapi.io/winapi/NtWaitForSingleObject
NtWaitForSingleObject,Evasion,https://malapi.io/winapi/NtWaitForSingleObject
NtWriteVirtualMemory,Injection,https://malapi.io/winapi/NtWriteVirtualMemory
OpenClipboard,Helper,https://malapi.io/winapi/OpenClipboard
OpenFileMappingA,Injection,https://malapi.io/winapi/OpenFileMappingA
OpenProcess,Injection,https://malapi.io/winapi/OpenProcess
OpenProcessToken,Injection,https://malapi.io/winapi/OpenProcessToken
OpenSCManagerA,Helper,https://malapi.io/winapi/OpenSCManagerA
OpenServiceA,Helper,https://malapi.io/winapi/OpenServiceA
OpenThread,Injection,https://malapi.io/winapi/OpenThread
OutputDebugStringA,Anti-Debugging,https://malapi.io/winapi/OutputDebugStringA
PathFileExistsA,Enumeration,https://malapi.io/winapi/PathFileExistsA
PeekMessageA,Spying,https://malapi.io/winapi/PeekMessageA
PeekNamedPipe,Helper,https://malapi.io/winapi/PeekNamedPipe
PostMessageA,Spying,https://malapi.io/winapi/PostMessageA
PostThreadMessageA,Spying,https://malapi.io/winapi/PostThreadMessageA
Process32First,Enumeration,https://malapi.io/winapi/Process32First
Process32First,Injection,https://malapi.io/winapi/Process32First
Process32Next,Enumeration,https://malapi.io/winapi/Process32Next
Process32Next,Injection,https://malapi.io/winapi/Process32Next
QueryPerformanceCounter,Anti-Debugging,https://malapi.io/winapi/QueryPerformanceCounter
QueryPerformanceFrequency,Anti-Debugging,https://malapi.io/winapi/QueryPerformanceFrequency
QueueUserAPC,Injection,https://malapi.io/winapi/QueueUserAPC
ReadFile,Enumeration,https://malapi.io/winapi/ReadFile
ReadProcessMemory,Enumeration,https://malapi.io/winapi/ReadProcessMemory
ReadProcessMemory,Injection,https://malapi.io/winapi/ReadProcessMemory
Recv,Internet,https://malapi.io/winapi/Recv
RegCloseKey,Helper,https://malapi.io/winapi/RegCloseKey
RegConnectRegistryA,Helper,https://malapi.io/winapi/RegConnectRegistryA
RegCopyTreeA,Helper,https://malapi.io/winapi/RegCopyTreeA
RegCreateKeyA,Helper,https://malapi.io/winapi/RegCreateKeyA
RegCreateKeyExA,Helper,https://malapi.io/winapi/RegCreateKeyExA
RegCreateKeyTransactedA,Helper,https://malapi.io/winapi/RegCreateKeyTransactedA
RegDeleteKeyA,Helper,https://malapi.io/winapi/RegDeleteKeyA
RegDeleteKeyExA,Helper,https://malapi.io/winapi/RegDeleteKeyExA
RegDeleteKeyTransactedA,Helper,https://malapi.io/winapi/RegDeleteKeyTransactedA
RegDeleteKeyValueA,Helper,https://malapi.io/winapi/RegDeleteKeyValueA
RegDeleteTreeA,Helper,https://malapi.io/winapi/RegDeleteTreeA
RegDeleteValueA,Helper,https://malapi.io/winapi/RegDeleteValueA 
RegDeleteValueA,Helper,https://malapi.io/winapi/RegDeleteValueA
